,AgeOnScanDate,Phy48Grade,GPA.PreSem,Mean Physics Retrieval Accuracy Pre,Mean Correct RT Pre,Mean Physics Retrieval Accuracy Post,Mean Correct RT Post,F,Pre Mean FCI Accuracy,Post Mean FCI Accuracy,shen eff pre,shen eff post,shen cpl pre,shen cpl post,shen mod pre,shen mod post,crad eff pre,crad eff post,crad cpl pre,crad cpl post,crad mod pre,crad mod post,Strt.Level,Verbal Comprehension Sum_1,Perceptual Reasoning Sum_1,Working Memory Sum_1,Processing Speed Sum_1,Full Scale IQ_1,Verbal Comprehension Sum_2,Perceptual Reasoning Sum_2,Working Memory Sum_2,Processing Speed Sum_2,Full Scale IQ_2,delta Physics Retrieval Accuracy,delta FCI Accuracy,delta Verbal Comprehension,delta Perceptual Reasoning,delta Working Memory,delta Processing Speed,delta Full Scale IQ,Mod
AgeOnScanDate,0.0,0.1052,0.0028,0.4066,0.531,0.0838,0.4029,0.5834,0.9212,0.1821,0.6221,0.8221,0.47,0.9247,0.3491,0.4118,0.7628,0.6693,0.7082,0.8406,0.4066,0.3969,0.0001,0.3021,0.1982,0.1346,0.7385,0.058,0.8886,0.8104,0.8928,0.9981,0.9857,0.4631,0.2172,0.2378,0.1344,0.1175,0.8434,0.0685,0.8204
Phy48Grade,0.1052,0.0,0.03,0.3337,0.8165,0.4155,0.7169,0.1501,0.4986,0.0098,0.16,0.7074,0.1711,0.6217,0.1523,0.1887,0.1394,0.5669,0.1531,0.4773,0.0958,0.1938,0.9523,0.8108,0.6942,0.4463,0.9112,0.9803,0.5528,0.2246,0.9512,0.7163,0.5337,0.72,0.0658,0.3453,0.062,0.3461,0.7068,0.5064,0.5056
GPA.PreSem,0.0028,0.03,0.0,0.7856,0.5739,0.7319,0.9445,0.0627,0.0335,0.6349,0.0801,0.6409,0.1387,0.635,0.3641,0.4893,0.0927,0.5677,0.157,0.5806,0.5871,0.6071,0.9716,0.7003,0.4383,0.0761,0.6839,0.2973,0.1661,0.4927,0.1169,0.3159,0.3994,0.987,0.1054,0.3339,0.9113,0.7718,0.5444,0.9535,0.106
Mean Physics Retrieval Accuracy Pre,0.4066,0.3337,0.7856,0.0,0.0121,0.0,0.0029,0.0152,0.003,0.0202,0.3304,0.7736,0.3754,0.9209,0.0938,0.5737,0.3103,0.8392,0.3965,0.9207,0.0757,0.1557,0.932,0.0502,0.5617,0.5982,0.8639,0.0981,0.0041,0.1279,0.0385,0.2799,0.0515,0.0001,0.5762,0.6627,0.1957,0.1002,0.3066,0.58,0.2262
Mean Correct RT Pre,0.531,0.8165,0.5739,0.0121,0.0,0.0014,0.0,0.9786,0.4504,0.2817,0.2841,0.4884,0.3577,0.4416,0.1879,0.3039,0.304,0.5173,0.4379,0.5317,0.2202,0.4741,0.8073,0.0025,0.9769,0.1684,0.1296,0.0028,0.0003,0.8772,0.0992,0.6348,0.0856,0.9151,0.7513,0.8992,0.8725,0.8206,0.1896,0.4081,0.0086
Mean Physics Retrieval Accuracy Post,0.0838,0.4155,0.7319,0.0,0.0014,0.0,0.0011,0.0011,0.086,0.0095,0.474,0.7564,0.4486,0.576,0.0368,0.2217,0.585,0.7008,0.655,0.5981,0.0248,0.0931,0.1031,0.0328,0.6893,0.4501,0.6484,0.2698,0.0031,0.4469,0.0761,0.2578,0.1409,0.1213,0.4229,0.7567,0.1918,0.289,0.4935,0.5734,0.1878
Mean Correct RT Post,0.4029,0.7169,0.9445,0.0029,0.0,0.0011,0.0,0.5122,0.9537,0.5732,0.9475,0.9596,0.8656,0.8921,0.0658,0.8701,0.841,0.9767,0.9674,0.7963,0.0416,0.9655,0.7444,0.0516,0.855,0.97,0.0764,0.0485,0.046,0.592,0.3358,0.6705,0.1061,0.7324,0.5335,0.7081,0.6316,0.2685,0.4973,0.9395,0.2907
F,0.5834,0.1501,0.0627,0.0152,0.9786,0.0011,0.5122,0.0,0.0099,0.0005,0.8382,0.8902,0.9844,0.8022,0.0919,0.0408,0.7559,0.9403,0.8583,0.8593,0.066,0.0069,0.3797,0.0523,0.6029,0.5611,0.0275,0.5549,0.0445,0.1224,0.0662,0.7399,0.0473,0.8102,0.463,0.723,0.1681,0.183,0.3166,0.1091,0.1931
Pre Mean FCI Accuracy,0.9212,0.4986,0.0335,0.003,0.4504,0.086,0.9537,0.0099,0.0,0.001,0.7118,0.2234,0.6893,0.2094,0.8182,0.0509,0.5806,0.2332,0.523,0.2664,0.6535,0.0267,0.6923,0.2259,0.6244,0.3527,0.2891,0.43,0.0336,0.0652,0.0069,0.3227,0.0391,0.0741,0.001,0.5134,0.077,0.0686,0.8361,0.136,0.8416
Post Mean FCI Accuracy,0.1821,0.0098,0.6349,0.0202,0.2817,0.0095,0.5732,0.0005,0.001,0.0,0.9661,0.8459,0.8381,0.6653,0.2296,0.6126,0.9733,0.6869,0.9571,0.6025,0.1302,0.2821,0.1943,0.0325,0.7024,0.2622,0.2238,0.2086,0.0079,0.0084,0.0741,0.2005,0.027,0.8243,0.001,0.9774,0.0044,0.5122,0.7207,0.2328,0.9167
shen eff pre,0.6221,0.16,0.0801,0.3304,0.2841,0.474,0.9475,0.8382,0.7118,0.9661,0.0,0.0226,0.0,0.0159,0.0,0.0288,0.0,0.0269,0.0,0.0295,0.0,0.06,0.567,0.5485,0.227,0.8213,0.8569,0.3789,0.811,0.4376,0.2459,0.7973,0.4319,0.6399,0.7435,0.3021,0.8607,0.3096,0.7439,0.9749,0.3981
shen eff post,0.8221,0.7074,0.6409,0.7736,0.4884,0.7564,0.9596,0.8902,0.2234,0.8459,0.0226,0.0,0.0164,0.0,0.092,0.0,0.0931,0.0,0.0829,0.0,0.1871,0.0002,0.3247,0.4627,0.801,0.7211,0.4031,0.8466,0.5168,0.319,0.7272,0.7443,0.4914,0.4935,0.3078,0.097,0.3308,0.9805,0.4362,0.5651,0.9019
shen cpl pre,0.47,0.1711,0.1387,0.3754,0.3577,0.4486,0.8656,0.9844,0.6893,0.8381,0.0,0.0164,0.0,0.0096,0.0,0.0387,0.0,0.0195,0.0,0.0188,0.0,0.0895,0.6001,0.5927,0.1656,0.8971,0.9922,0.333,0.7129,0.5529,0.2644,0.8029,0.5321,0.7508,0.845,0.277,0.5778,0.28,0.8364,0.8201,0.6069
shen cpl post,0.9247,0.6217,0.635,0.9209,0.4416,0.576,0.8921,0.8022,0.2094,0.6653,0.0159,0.0,0.0096,0.0,0.0656,0.0,0.0725,0.0,0.0596,0.0,0.15,0.0003,0.3496,0.5377,0.9618,0.8328,0.4024,0.9408,0.4237,0.2656,0.7551,0.6268,0.4789,0.4792,0.4153,0.095,0.161,0.9188,0.3591,0.4766,0.8253
shen mod pre,0.3491,0.1523,0.3641,0.0938,0.1879,0.0368,0.0658,0.0919,0.8182,0.2296,0.0,0.092,0.0,0.0656,0.0,0.0163,0.0,0.1393,0.0,0.1082,0.0,0.0219,0.7011,0.8014,0.8549,0.9239,0.6479,0.8184,0.4424,0.7071,0.5893,0.7221,0.8905,0.9572,0.3333,0.251,0.7753,0.4805,0.9764,0.7105,0.5494
shen mod post,0.4118,0.1887,0.4893,0.5737,0.3039,0.2217,0.8701,0.0408,0.0509,0.6126,0.0288,0.0,0.0387,0.0,0.0163,0.0,0.0767,0.0,0.1194,0.0,0.0121,0.0,0.3649,0.7984,0.8193,0.6428,0.6941,0.9638,0.6857,0.4752,0.75,0.9492,0.5597,0.5766,0.156,0.4463,0.5141,0.8574,0.8564,0.491,0.6995
crad eff pre,0.7628,0.1394,0.0927,0.3103,0.304,0.585,0.841,0.7559,0.5806,0.9733,0.0,0.0931,0.0,0.0725,0.0,0.0767,0.0,0.0796,0.0,0.0861,0.0,0.1037,0.3265,0.6319,0.1908,0.96,0.9921,0.4098,0.8874,0.4998,0.2975,0.8951,0.5981,0.4866,0.5572,0.4418,0.6983,0.2266,0.9153,0.8415,0.5387
crad eff post,0.6693,0.5669,0.5677,0.8392,0.5173,0.7008,0.9767,0.9403,0.2332,0.6869,0.0269,0.0,0.0195,0.0,0.1393,0.0,0.0796,0.0,0.0679,0.0,0.2591,0.0004,0.4969,0.4632,0.9706,0.4314,0.3498,0.7618,0.513,0.288,0.5658,0.5509,0.5182,0.5123,0.4339,0.0959,0.2084,0.7901,0.2842,0.6714,0.9151
crad cpl pre,0.7082,0.1531,0.157,0.3965,0.4379,0.655,0.9674,0.8583,0.523,0.9571,0.0,0.0829,0.0,0.0596,0.0,0.1194,0.0,0.0679,0.0,0.0703,0.0,0.1634,0.3028,0.6195,0.1056,0.9139,0.9299,0.3225,0.8702,0.508,0.2991,0.9125,0.6012,0.5534,0.5582,0.4148,0.4958,0.2027,0.8838,0.7192,0.7441
crad cpl post,0.8406,0.4773,0.5806,0.9207,0.5317,0.5981,0.7963,0.8593,0.2664,0.6025,0.0295,0.0,0.0188,0.0,0.1082,0.0,0.0861,0.0,0.0703,0.0,0.2045,0.0007,0.4979,0.3991,0.9779,0.4455,0.3611,0.8461,0.4764,0.1873,0.4884,0.4723,0.4443,0.5001,0.5588,0.0603,0.1019,0.9129,0.2446,0.5097,0.9346
crad mod pre,0.4066,0.0958,0.5871,0.0757,0.2202,0.0248,0.0416,0.066,0.6535,0.1302,0.0,0.1871,0.0,0.15,0.0,0.0121,0.0,0.2591,0.0,0.2045,0.0,0.0085,0.7512,0.7106,0.468,0.7556,0.5218,0.9523,0.3647,0.3526,0.6497,0.9998,0.4927,0.9334,0.2931,0.1451,0.6537,0.3896,0.7022,0.4142,0.8598
crad mod post,0.3969,0.1938,0.6071,0.1557,0.4741,0.0931,0.9655,0.0069,0.0267,0.2821,0.06,0.0002,0.0895,0.0003,0.0219,0.0,0.1037,0.0004,0.1634,0.0007,0.0085,0.0,0.6346,0.9499,0.3241,0.3708,0.4333,0.647,0.4876,0.1412,0.7112,0.8722,0.2246,0.9704,0.2764,0.5109,0.3945,0.5394,0.5449,0.3689,0.6446
Strt.Level,0.0001,0.9523,0.9716,0.932,0.8073,0.1031,0.7444,0.3797,0.6923,0.1943,0.567,0.3247,0.6001,0.3496,0.7011,0.3649,0.3265,0.4969,0.3028,0.4979,0.7512,0.6346,0.0,0.1178,0.405,0.1636,0.5306,0.0355,0.1209,0.9029,0.5867,0.7193,0.5086,0.1125,0.3713,0.7218,0.5322,0.3254,0.4952,0.2192,0.2631
Verbal Comprehension Sum_1,0.3021,0.8108,0.7003,0.0502,0.0025,0.0328,0.0516,0.0523,0.2259,0.0325,0.5485,0.4627,0.5927,0.5377,0.8014,0.7984,0.6319,0.4632,0.6195,0.3991,0.7106,0.9499,0.1178,0.0,0.3559,0.1252,0.1334,0.0,0.0,0.3455,0.0864,0.5719,0.016,0.8165,0.3785,0.0001,0.7768,0.9009,0.6855,0.2728,0.1663
Perceptual Reasoning Sum_1,0.1982,0.6942,0.4383,0.5617,0.9769,0.6893,0.855,0.6029,0.6244,0.7024,0.227,0.801,0.1656,0.9618,0.8549,0.8193,0.1908,0.9706,0.1056,0.9779,0.468,0.3241,0.405,0.3559,0.0,0.0144,0.43,0.0,0.1869,0.0001,0.0279,0.6756,0.0005,0.25,0.9145,0.836,0.1891,0.7281,0.4066,0.9806,0.3772
Working Memory Sum_1,0.1346,0.4463,0.0761,0.5982,0.1684,0.4501,0.97,0.5611,0.3527,0.2622,0.8213,0.7211,0.8971,0.8328,0.9239,0.6428,0.96,0.4314,0.9139,0.4455,0.7556,0.3708,0.1636,0.1252,0.0144,0.0,0.964,0.0,0.0664,0.176,0.0,0.3944,0.031,0.9004,0.8507,0.9743,0.5699,0.0018,0.4524,0.0802,0.6461
Processing Speed Sum_1,0.7385,0.9112,0.6839,0.8639,0.1296,0.6484,0.0764,0.0275,0.2891,0.2238,0.8569,0.4031,0.9922,0.4024,0.6479,0.6941,0.9921,0.3498,0.9299,0.3611,0.5218,0.4333,0.5306,0.1334,0.43,0.964,0.0,0.1196,0.3841,0.3539,0.9312,0.6184,0.5698,0.4897,0.8787,0.3234,0.6986,0.8831,0.0004,0.0316,0.268
Full Scale IQ_1,0.058,0.9803,0.2973,0.0981,0.0028,0.2698,0.0485,0.5549,0.43,0.2086,0.3789,0.8466,0.333,0.9408,0.8184,0.9638,0.4098,0.7618,0.3225,0.8461,0.9523,0.647,0.0355,0.0,0.0,0.0,0.1196,0.0,0.0006,0.0209,0.0004,0.8112,0.0004,0.3696,0.6458,0.111,0.4255,0.2061,0.2588,0.0226,0.4756
Verbal Comprehension Sum_2,0.8886,0.5528,0.1661,0.0041,0.0003,0.0031,0.046,0.0445,0.0336,0.0079,0.811,0.5168,0.7129,0.4237,0.4424,0.6857,0.8874,0.513,0.8702,0.4764,0.3647,0.4876,0.1209,0.0,0.1869,0.0664,0.3841,0.0006,0.0,0.0093,0.0251,0.0323,0.0004,0.6238,0.6358,0.1649,0.0651,0.7398,0.2065,0.5349,0.2574
Perceptual Reasoning Sum_2,0.8104,0.2246,0.4927,0.1279,0.8772,0.4469,0.592,0.1224,0.0652,0.0084,0.4376,0.319,0.5529,0.2656,0.7071,0.4752,0.4998,0.288,0.508,0.1873,0.3526,0.1412,0.9029,0.3455,0.0001,0.176,0.3539,0.0209,0.0093,0.0,0.0349,0.6109,0.0,0.2733,0.4717,0.144,0.0,0.4663,0.322,0.0002,0.6327
Working Memory Sum_2,0.8928,0.9512,0.1169,0.0385,0.0992,0.0761,0.3358,0.0662,0.0069,0.0741,0.2459,0.7272,0.2644,0.7551,0.5893,0.75,0.2975,0.5658,0.2991,0.4884,0.6497,0.7112,0.5867,0.0864,0.0279,0.0,0.9312,0.0004,0.0251,0.0349,0.0,0.3181,0.0004,0.4771,0.4049,0.8874,0.6145,0.0087,0.4261,0.6069,0.6575
Processing Speed Sum_2,0.9981,0.7163,0.3159,0.2799,0.6348,0.2578,0.6705,0.7399,0.3227,0.2005,0.7973,0.7443,0.8029,0.6268,0.7221,0.9492,0.8951,0.5509,0.9125,0.4723,0.9998,0.8722,0.7193,0.5719,0.6756,0.3944,0.6184,0.8112,0.0323,0.6109,0.3181,0.0,0.0119,0.8624,0.7761,0.1318,0.8202,0.9027,0.0,0.0021,0.0085
Full Scale IQ_2,0.9857,0.5337,0.3994,0.0515,0.0856,0.1409,0.1061,0.0473,0.0391,0.027,0.4319,0.4914,0.5321,0.4789,0.8905,0.5597,0.5981,0.5182,0.6012,0.4443,0.4927,0.2246,0.5086,0.016,0.0005,0.031,0.5698,0.0004,0.0004,0.0,0.0004,0.0119,0.0,0.3848,0.8925,0.6078,0.0012,0.2213,0.0127,0.0001,0.3131
delta Physics Retrieval Accuracy,0.4631,0.72,0.987,0.0001,0.9151,0.1213,0.7324,0.8102,0.0741,0.8243,0.6399,0.4935,0.7508,0.4792,0.9572,0.5766,0.4866,0.5123,0.5534,0.5001,0.9334,0.9704,0.1125,0.8165,0.25,0.9004,0.4897,0.3696,0.6238,0.2733,0.4771,0.8624,0.3848,0.0,0.1203,0.8237,0.7967,0.3525,0.575,0.9156,0.8856
delta FCI Accuracy,0.2172,0.0658,0.1054,0.5762,0.7513,0.4229,0.5335,0.463,0.001,0.001,0.7435,0.3078,0.845,0.4153,0.3333,0.156,0.5572,0.4339,0.5582,0.5588,0.2931,0.2764,0.3713,0.3785,0.9145,0.8507,0.8787,0.6458,0.6358,0.4717,0.4049,0.7761,0.8925,0.1203,0.0,0.5314,0.3291,0.2546,0.8802,0.7735,0.7604
delta Verbal Comprehension,0.2378,0.3453,0.3339,0.6627,0.8992,0.7567,0.7081,0.723,0.5134,0.9774,0.3021,0.097,0.277,0.095,0.251,0.4463,0.4418,0.0959,0.4148,0.0603,0.1451,0.5109,0.7218,0.0001,0.836,0.9743,0.3234,0.111,0.1649,0.144,0.8874,0.1318,0.6078,0.8237,0.5314,0.0,0.1139,0.8469,0.0581,0.0339,0.572
delta Perceptual Reasoning,0.1344,0.062,0.9113,0.1957,0.8725,0.1918,0.6316,0.1681,0.077,0.0044,0.8607,0.3308,0.5778,0.161,0.7753,0.5141,0.6983,0.2084,0.4958,0.1019,0.6537,0.3945,0.5322,0.7768,0.1891,0.5699,0.6986,0.4255,0.0651,0.0,0.6145,0.8202,0.0012,0.7967,0.3291,0.1139,0.0,0.2242,0.6706,0.0,0.8115
delta Working Memory,0.1175,0.3461,0.7718,0.1002,0.8206,0.289,0.2685,0.183,0.0686,0.5122,0.3096,0.9805,0.28,0.9188,0.4805,0.8574,0.2266,0.7901,0.2027,0.9129,0.3896,0.5394,0.3254,0.9009,0.7281,0.0018,0.8831,0.2061,0.7398,0.4663,0.0087,0.9027,0.2213,0.3525,0.2546,0.8469,0.2242,0.0,0.9872,0.0081,0.3076
delta Processing Speed,0.8434,0.7068,0.5444,0.3066,0.1896,0.4935,0.4973,0.3166,0.8361,0.7207,0.7439,0.4362,0.8364,0.3591,0.9764,0.8564,0.9153,0.2842,0.8838,0.2446,0.7022,0.5449,0.4952,0.6855,0.4066,0.4524,0.0004,0.2588,0.2065,0.322,0.4261,0.0,0.0127,0.575,0.8802,0.0581,0.6706,0.9872,0.0,0.0,0.003
delta Full Scale IQ,0.0685,0.5064,0.9535,0.58,0.4081,0.5734,0.9395,0.1091,0.136,0.2328,0.9749,0.5651,0.8201,0.4766,0.7105,0.491,0.8415,0.6714,0.7192,0.5097,0.4142,0.3689,0.2192,0.2728,0.9806,0.0802,0.0316,0.0226,0.5349,0.0002,0.6069,0.0021,0.0001,0.9156,0.7735,0.0339,0.0,0.0081,0.0,0.0,0.0681
Mod,0.8204,0.5056,0.106,0.2262,0.0086,0.1878,0.2907,0.1931,0.8416,0.9167,0.3981,0.9019,0.6069,0.8253,0.5494,0.6995,0.5387,0.9151,0.7441,0.9346,0.8598,0.6446,0.2631,0.1663,0.3772,0.6461,0.268,0.4756,0.2574,0.6327,0.6575,0.0085,0.3131,0.8856,0.7604,0.572,0.8115,0.3076,0.003,0.0681,0.0
